model,split,test_auc,test_f1,test_accuracy,test_balanced_accuracy,test_sensitivity,test_specificity
base-densenet,1,0.7449294532627865,0.5434782608695652,0.72,0.6818783068783069,0.5952380952380952,0.7685185185185185
base-densenet,2,0.7804837822979659,0.6255924170616114,0.7357859531772575,0.7480483782297966,0.7764705882352941,0.719626168224299
base-densenet,3,0.7148268398268398,0.53125,0.697986577181208,0.6635822510822511,0.5795454545454546,0.7476190476190476
base-densenet,4,0.7215578539107951,0.5125,0.7442622950819672,0.6648620986856281,0.4880952380952381,0.8416289592760181
base-densenet,5,0.737427681352915,0.49696969696969695,0.7214765100671141,0.6505896751223854,0.4880952380952381,0.8130841121495327
base-efficientnet-b7,1,0.7089947089947091,0.22018348623853212,0.7166666666666667,0.5413359788359788,0.14285714285714285,0.9398148148148148
base-efficientnet-b7,2,0.7401869158878505,0.4785276073619632,0.7157190635451505,0.6382902693787795,0.4588235294117647,0.8177570093457944
base-efficientnet-b7,3,0.594534632034632,0.39790575916230364,0.6140939597315436,0.5611471861471862,0.4318181818181818,0.6904761904761905
base-efficientnet-b7,4,0.6553813833225598,0.45714285714285713,0.6885245901639344,0.6227106227106227,0.47619047619047616,0.7692307692307693
base-efficientnet-b7,5,0.6627725856697819,0.041666666666666664,0.6912751677852349,0.4885402759234535,0.023809523809523808,0.9532710280373832
base-efficientnet-b8,1,0.6486441798941798,0.28125,0.6933333333333334,0.546957671957672,0.21428571428571427,0.8796296296296297
base-efficientnet-b8,2,0.5608026388125343,0.39316239316239315,0.5250836120401338,0.529934029686641,0.5411764705882353,0.5186915887850467
base-efficientnet-b8,3,0.6379329004329004,0.3783783783783784,0.6912751677852349,0.5829004329004329,0.3181818181818182,0.8476190476190476
base-efficientnet-b8,4,0.6132299073475544,0.3087248322147651,0.6622950819672131,0.5418821374703728,0.27380952380952384,0.8099547511312217
base-efficientnet-b8,5,0.683466844681798,0.3308270676691729,0.7013422818791947,0.5678682688028482,0.2619047619047619,0.8738317757009346
base-efficientnet,1,0.6420304232804233,0.348993288590604,0.6766666666666666,0.564484126984127,0.30952380952380953,0.8194444444444444
base-efficientnet,2,0.6765255634964267,0.38235294117647056,0.7190635451505016,0.5945299615173172,0.3058823529411765,0.883177570093458
base-efficientnet,3,0.6575757575757575,0.42953020134228187,0.714765100671141,0.6127705627705629,0.36363636363636365,0.861904761904762
base-efficientnet,4,0.6065503124326653,0.32432432432432434,0.6721311475409836,0.5523594053005818,0.2857142857142857,0.8190045248868778
base-efficientnet,5,0.6351246105919003,0.33093525179856115,0.6879194630872483,0.5621384067645749,0.27380952380952384,0.8504672897196262
base-resnet,1,0.6674382716049382,0.4717948717948718,0.6566666666666666,0.6233465608465609,0.5476190476190477,0.6990740740740741
base-resnet,2,0.7297416162726774,0.4625,0.7123745819397993,0.6288620120945574,0.43529411764705883,0.822429906542056
base-resnet,3,0.702056277056277,0.4431137724550898,0.6879194630872483,0.6102272727272727,0.42045454545454547,0.8
base-resnet,4,0.7531243266537384,0.48322147651006714,0.7475409836065574,0.6486748545572075,0.42857142857142855,0.8687782805429864
base-resnet,5,0.7358144192256343,0.5149700598802395,0.7281879194630873,0.6624944370271473,0.5119047619047619,0.8130841121495327
base-vit,1,0.5,0.4375,0.28,0.5,1.0,0.0
base-vit,2,0.5,0.4427083333333333,0.2842809364548495,0.5,1.0,0.0
base-vit,3,0.5,0.45595854922279794,0.2953020134228188,0.5,1.0,0.0
base-vit,4,0.5,0.4318766066838046,0.2754098360655738,0.5,1.0,0.0
base-vit,5,0.5,0.4397905759162304,0.28187919463087246,0.5,1.0,0.0
config1,1,0.8034060846560848,0.6206896551724138,0.7433333333333333,0.7453703703703703,0.75,0.7407407407407407
config1,2,0.7188015393073116,0.5076923076923077,0.5719063545150501,0.6335623969213854,0.7764705882352941,0.49065420560747663
