,test_auc,test_auc,test_auc,test_auc,test_auc,test_f1,test_f1,test_f1,test_f1,test_f1,test_accuracy,test_accuracy,test_accuracy,test_accuracy,test_accuracy,test_balanced_accuracy,test_balanced_accuracy,test_balanced_accuracy,test_balanced_accuracy,test_balanced_accuracy,test_specificity,test_specificity,test_specificity,test_specificity,test_specificity,test_sensitivity,test_sensitivity,test_sensitivity,test_sensitivity,test_sensitivity
,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median,mean,std,min,max,median
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base-densenet,0.7398451221302604,0.025707653391294362,0.7148268398268398,0.7804837822979659,0.737427681352915,0.5419580749801747,0.05000852264330892,0.49696969696969695,0.6255924170616114,0.53125,0.7239022671015094,0.017666972744917304,0.697986577181208,0.7442622950819672,0.7214765100671141,0.6817921419996736,0.038670779332838384,0.6505896751223854,0.7480483782297966,0.6648620986856281,0.7780953611574832,0.049244032404834555,0.719626168224299,0.8416289592760181,0.7685185185185185,0.585488922841864,0.11787220553559295,0.4880952380952381,0.7764705882352941,0.5795454545454546
base-efficientnet,0.6435613334754346,0.02610738497728006,0.6065503124326653,0.6765255634964267,0.6420304232804233,0.3632272014464484,0.04336095551021675,0.32432432432432434,0.42953020134228187,0.348993288590604,0.6941091846233082,0.021650491775304048,0.6721311475409836,0.7190635451505016,0.6879194630872483,0.5772564926674327,0.02535338590437602,0.5523594053005818,0.6127705627705629,0.564484126984127,0.8467997182098337,0.027775192655101096,0.8190045248868778,0.883177570093458,0.8504672897196262,0.30771326712503183,0.03452333279050689,0.27380952380952384,0.36363636363636365,0.3058823529411765
base-efficientnet-b7,0.6723740451819067,0.055631760875448966,0.594534632034632,0.7401869158878505,0.6627725856697819,0.3190852753144645,0.1853625300118364,0.041666666666666664,0.4785276073619632,0.39790575916230364,0.685255889578506,0.041909361300893615,0.6140939597315436,0.7166666666666667,0.6912751677852349,0.5704048665992041,0.061189942234372255,0.4885402759234535,0.6382902693787795,0.5611471861471862,0.8341099623809904,0.11233906778678872,0.6904761904761905,0.9532710280373832,0.8177570093457944,0.30669977081741784,0.20880292891695776,0.023809523809523808,0.47619047619047616,0.4318181818181818
base-efficientnet-b8,0.6288152942337935,0.04563916354828966,0.5608026388125343,0.683466844681798,0.6379329004329004,0.33846853428494195,0.046907500319952534,0.28125,0.39316239316239315,0.3308270676691729,0.6546658954010219,0.07393217716950731,0.5250836120401338,0.7013422818791947,0.6912751677852349,0.5539085081635934,0.021231638839865907,0.529934029686641,0.5829004329004329,0.546957671957672,0.785945358573176,0.15190904949708647,0.5186915887850467,0.8796296296296297,0.8476190476190476,0.3218716577540107,0.1280516969795585,0.21428571428571427,0.5411764705882353,0.27380952380952384
base-resnet,0.7176349821626531,0.03353715065943387,0.6674382716049382,0.7531243266537384,0.7297416162726774,0.4751200361280537,0.02668511136070271,0.4431137724550898,0.5149700598802395,0.4717948717948718,0.7065379229526718,0.035418318605363146,0.6566666666666666,0.7475409836065574,0.7123745819397993,0.6347210274505491,0.020794964188133428,0.6102272727272727,0.6624944370271473,0.6288620120945574,0.8006732746617299,0.062427002576672545,0.6990740740740741,0.8687782805429864,0.8130841121495327,0.4687687802393684,0.05733394060177633,0.42045454545454547,0.5476190476190477,0.43529411764705883
base-vit,0.5,0.0,0.5,0.5,0.5,0.44156681303123324,0.00897244705728554,0.4318766066838046,0.45595854922279794,0.4397905759162304,0.2833743961148229,0.007418663347085064,0.2754098360655738,0.2953020134228188,0.28187919463087246,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
config1,0.7595742777827714,0.030816853419758424,0.7188015393073116,0.8034060846560848,0.7533008658008659,0.5392757318281112,0.059087496041887226,0.4662576687116564,0.6206896551724138,0.5316455696202531,0.6946663774420498,0.07225246009586596,0.5719063545150501,0.7516778523489933,0.7080536912751678,0.6777933811551183,0.049698544621767246,0.6278138528138528,0.7453703703703703,0.6752336448598131,0.7186909130614463,0.14305347054096915,0.49065420560747663,0.8504672897196262,0.7407407407407407,0.6368958492487904,0.1589374958130433,0.4318181818181818,0.7764705882352941,0.7261904761904762
config2,0.7362303140242026,0.02410574837810381,0.70298721340388,0.7687740516767454,0.7415427709545357,0.45673933846473896,0.10671812858289573,0.32,0.57,0.4473684210526316,0.7120729653115672,0.009785701556806534,0.6950819672131148,0.7181208053691275,0.7166666666666667,0.6370919755829046,0.057554952983292135,0.5704365079365079,0.69978009895547,0.6229417000445038,0.8120360010766827,0.09408023467815592,0.6968325791855203,0.9027777777777778,0.8411214953271028,0.4621479500891265,0.20808727178506772,0.23809523809523808,0.6904761904761905,0.40476190476190477
config3,0.5997603497026256,0.13959588062121378,0.41534391534391535,0.7620716510903427,0.6503023639362286,0.38685707891381604,0.22675581520427965,0.0,0.6010362694300518,0.4397905759162304,0.5363624286183711,0.2295949520751809,0.28,0.7416107382550335,0.6491803278688525,0.5658040786408021,0.10007224168459777,0.5,0.7260792167334224,0.5,0.4935129191863662,0.46385739415843147,0.0,1.0,0.7058823529411765,0.6380952380952382,0.41561090734466405,0.0,1.0,0.6904761904761905
config4,0.6783173035012415,0.018271468371711282,0.6542056074766356,0.7052226498075865,0.6755401234567902,0.3955504005001853,0.07215364443172127,0.3246753246753247,0.5,0.3611111111111111,0.6778831402532102,0.019257742934850747,0.6510067114093959,0.6983606557377049,0.6789297658862876,0.5882754802971955,0.04026779213476631,0.543669336893636,0.644502473886751,0.5778388278388278,0.7951032906173093,0.04534075290434063,0.7242990654205608,0.8461538461538461,0.7962962962962963,0.38144766997708174,0.1157303559562712,0.2976190476190476,0.5647058823529412,0.30952380952380953
config5,0.6583161114586348,0.030957111302715643,0.6158767245215844,0.6889880952380952,0.6524455936220642,0.4512113295694794,0.06905066538312103,0.3548387096774194,0.5358851674641149,0.4576271186440678,0.6458447241590746,0.06652226919024656,0.5704697986577181,0.7333333333333333,0.6622950819672131,0.6118253617374013,0.03143809411162492,0.5892857142857143,0.6634199134199135,0.5935412626589097,0.6885068477426917,0.15571217570365156,0.5420560747663551,0.9166666666666666,0.6904761904761905,0.5351438757321111,0.1807911998575696,0.2619047619047619,0.6941176470588235,0.6363636363636364
config6,0.6856485831799649,0.04746790745707715,0.6189925044091711,0.7300714678394723,0.6946969696969698,0.39398618083090564,0.048904110038650125,0.3114754098360656,0.42758620689655175,0.4217687074829932,0.6960774246203743,0.03837291197787064,0.63,0.7214765100671141,0.714765100671141,0.5927216773107372,0.023528752741847583,0.5648148148148148,0.6142316017316017,0.6050958845076493,0.8321876887187496,0.07779238811803232,0.7129629629629629,0.9158878504672897,0.8504672897196262,0.3532556659027247,0.07706020475003016,0.2235294117647059,0.4166666666666667,0.36904761904761907
config7,0.6894030750451403,0.049393744962676296,0.6351731601731602,0.7600133511348465,0.7008726567550098,0.3742286127465165,0.09584199174127998,0.2773722627737226,0.5153374233128835,0.36363636363636365,0.7013089214509851,0.024116860906831846,0.6677852348993288,0.7348993288590604,0.6989966555183946,0.5878067366632512,0.04871599727298825,0.536525974025974,0.6635514018691588,0.5783730158730158,0.8499946803547683,0.026558822983595264,0.8271028037383178,0.8914027149321267,0.8472222222222222,0.32561879297173413,0.11744782654755583,0.2159090909090909,0.5,0.30952380952380953
config8,0.7422231507319468,0.027610468469043796,0.7118078000430942,0.777130291368884,0.7356060606060605,0.3955140782478912,0.11442283089776675,0.19230769230769232,0.460431654676259,0.4460431654676259,0.7360371696562409,0.013710185349195594,0.7181208053691275,0.7483221476510067,0.7433333333333333,0.61153995323594,0.039011931728558095,0.5425324675324675,0.6367378727191811,0.628968253968254,0.9011369474700975,0.046925174505223655,0.8416289592760181,0.9714285714285714,0.8925233644859814,0.32194295900178255,0.12054144764575582,0.11363636363636363,0.4166666666666667,0.36904761904761907
